Pokedex Number,Name,Type 1,Type 2,Abilities,Classfication,Height m,Weight kg,Male %,Generation,HP,Attack,Defense,Special Attack,Special Defense,Speed
482,Azelf,psychic,,['Levitate'],Willpower Pokémon,0.3,0.3,,4,75,125,70,125,70,115
483,Dialga,steel,dragon,"['Pressure', 'Telepathy']",Temporal Pokémon,5.4,683,,4,100,120,120,150,100,90
484,Palkia,water,dragon,"['Pressure', 'Telepathy']",Spatial Pokémon,4.2,336,,4,90,120,100,150,120,100
485,Heatran,fire,steel,"['Flash Fire', 'Flame Body']",Lava Dome Pokémon,1.7,430,50,4,91,90,106,130,106,77
486,Regigigas,normal,,['Slow Start'],Colossal Pokémon,3.7,420,,4,110,160,110,80,110,100
487,Giratina,ghost,dragon,"['Pressure', 'Telepathy', 'Levitate']",Renegade Pokémon,4.5,750,,4,150,120,100,120,100,90
488,Cresselia,psychic,,['Levitate'],Lunar Pokémon,1.5,85.6,0,4,120,70,120,75,130,85
489,Phione,water,,['Hydration'],Sea Drifter Pokémon,0.4,3.1,,4,80,80,80,80,80,80
490,Manaphy,water,,['Hydration'],Seafaring Pokémon,0.3,1.4,,4,100,100,100,100,100,100
491,Darkrai,dark,,['Bad Dreams'],Pitch-Black Pokémon,1.5,50.5,,4,70,90,90,135,90,125
492,Shaymin,grass,grass,"['Natural Cure', 'Serene Grace']",Gratitude Pokémon,0.2,2.1,,4,100,103,75,120,75,127
493,Arceus,normal,,['Multitype'],Alpha Pokémon,3.2,320,,4,120,120,120,120,120,120
494,Victini,psychic,fire,['Victory Star'],Victory Pokémon,0.4,4,,5,100,100,100,100,100,100
495,Snivy,grass,,"['Overgrow', 'Contrary']",Grass Snake Pokémon,0.6,8.1,88.1,5,45,45,55,45,55,63
496,Servine,grass,,"['Overgrow', 'Contrary']",Grass Snake Pokémon,0.8,16,88.1,5,60,60,75,60,75,83
497,Serperior,grass,,"['Overgrow', 'Contrary']",Regal Pokémon,3.3,63,88.1,5,75,75,95,75,95,113
498,Tepig,fire,,"['Blaze', 'Thick Fat']",Fire Pig Pokémon,0.5,9.9,88.1,5,65,63,45,45,45,45
499,Pignite,fire,fighting,"['Blaze', 'Thick Fat']",Fire Pig Pokémon,1,55.5,88.1,5,90,93,55,70,55,55
500,Emboar,fire,fighting,"['Blaze', 'Reckless']",Mega Fire Pig Pokémon,1.6,150,88.1,5,110,123,65,100,65,65
501,Oshawott,water,,"['Torrent', 'Shell Armor']",Sea Otter Pokémon,0.5,5.9,88.1,5,55,55,45,63,45,45
502,Dewott,water,,"['Torrent', 'Shell Armor']",Discipline Pokémon,0.8,24.5,88.1,5,75,75,60,83,60,60
503,Samurott,water,,"['Torrent', 'Shell Armor']",Formidable Pokémon,1.5,94.6,88.1,5,95,100,85,108,70,70
504,Patrat,normal,,"['Run Away', 'Keen Eye', 'Analytic']",Scout Pokémon,0.5,11.6,50,5,45,55,39,35,39,42
505,Watchog,normal,,"['Illuminate', 'Keen Eye', 'Analytic']",Lookout Pokémon,1.1,27,50,5,60,85,69,60,69,77
506,Lillipup,normal,,"['Vital Spirit', 'Pickup', 'Run Away']",Puppy Pokémon,0.4,4.1,50,5,45,60,45,25,45,55
507,Herdier,normal,,"['Intimidate', 'Sand Rush', 'Scrappy']",Loyal Dog Pokémon,0.9,14.7,50,5,65,80,65,35,65,60
508,Stoutland,normal,,"['Intimidate', 'Sand Rush', 'Scrappy']",Big-Hearted Pokémon,1.2,61,50,5,85,110,90,45,90,80
509,Purrloin,dark,,"['Limber', 'Unburden', 'Prankster']",Devious Pokémon,0.4,10.1,50,5,41,50,37,50,37,66
510,Liepard,dark,,"['Limber', 'Unburden', 'Prankster']",Cruel Pokémon,1.1,37.5,50,5,64,88,50,88,50,106
511,Pansage,grass,,"['Gluttony', 'Overgrow']",Grass Monkey Pokémon,0.6,10.5,88.1,5,50,53,48,53,48,64
512,Simisage,grass,,"['Gluttony', 'Overgrow']",Thorn Monkey Pokémon,1.1,30.5,88.1,5,75,98,63,98,63,101
513,Pansear,fire,,"['Gluttony', 'Blaze']",High Temp Pokémon,0.6,11,88.1,5,50,53,48,53,48,64
514,Simisear,fire,,"['Gluttony', 'Blaze']",Ember Pokémon,1,28,88.1,5,75,98,63,98,63,101
515,Panpour,water,,"['Gluttony', 'Torrent']",Spray Pokémon,0.6,13.5,88.1,5,50,53,48,53,48,64
516,Simipour,water,,"['Gluttony', 'Torrent']",Geyser Pokémon,1,29,88.1,5,75,98,63,98,63,101
517,Munna,psychic,,"['Forewarn', 'Synchronize', 'Telepathy']",Dream Eater Pokémon,0.6,23.3,50,5,76,25,45,67,55,24
518,Musharna,psychic,,"['Forewarn', 'Synchronize', 'Telepathy']",Drowsing Pokémon,1.1,60.5,50,5,116,55,85,107,95,29
519,Pidove,normal,flying,"['Big Pecks', 'Super Luck', 'Rivalry']",Tiny Pigeon Pokémon,0.3,2.1,50,5,50,55,50,36,30,43
520,Tranquill,normal,flying,"['Big Pecks', 'Super Luck', 'Rivalry']",Wild Pigeon Pokémon,0.6,15,50,5,62,77,62,50,42,65
521,Unfezant,normal,flying,"['Big Pecks', 'Super Luck', 'Rivalry']",Proud Pokémon,1.2,29,50,5,80,115,80,65,55,93
522,Blitzle,electric,,"['Lightningrod', 'Motor Drive', 'Sap Sipper']",Electrified Pokémon,0.8,29.8,50,5,45,60,32,50,32,76
523,Zebstrika,electric,,"['Lightningrod', 'Motor Drive', 'Sap Sipper']",Thunderbolt Pokémon,1.6,79.5,50,5,75,100,63,80,63,116
524,Roggenrola,rock,,"['Sturdy', 'Weak Armor', 'Sand Force']",Mantle Pokémon,0.4,18,50,5,55,75,85,25,25,15
525,Boldore,rock,,"['Sturdy', 'Weak Armor', 'Sand Force']",Ore Pokémon,0.9,102,50,5,70,105,105,50,40,20
526,Gigalith,rock,,"['Sturdy', 'Sand Stream', 'Sand Force']",Compressed Pokémon,1.7,260,50,5,85,135,130,60,80,25
527,Woobat,psychic,flying,"['Unaware', 'Klutz', 'Simple']",Bat Pokémon,0.4,2.1,50,5,65,45,43,55,43,72
528,Swoobat,psychic,flying,"['Unaware', 'Klutz', 'Simple']",Courting Pokémon,0.9,10.5,50,5,67,57,55,77,55,114
529,Drilbur,ground,,"['Sand Rush', 'Sand Force', 'Mold Breaker']",Mole Pokémon,0.3,8.5,50,5,60,85,40,30,45,68
530,Excadrill,ground,steel,"['Sand Rush', 'Sand Force', 'Mold Breaker']",Subterrene Pokémon,0.7,40.4,50,5,110,135,60,50,65,88
531,Audino,normal,,"['Healer', 'Regenerator', 'Klutz']",Hearing Pokémon,1.1,31,50,5,103,60,126,80,126,50
532,Timburr,fighting,,"['Guts', 'Sheer Force', 'Iron Fist']",Muscular Pokémon,0.6,12.5,75.4,5,75,80,55,25,35,35
533,Gurdurr,fighting,,"['Guts', 'Sheer Force', 'Iron Fist']",Muscular Pokémon,1.2,40,75.4,5,85,105,85,40,50,40
534,Conkeldurr,fighting,,"['Guts', 'Sheer Force', 'Iron Fist']",Muscular Pokémon,1.4,87,75.4,5,105,140,95,55,65,45
535,Tympole,water,,"['Swift Swim', 'Hydration', 'Water Absorb']",Tadpole Pokémon,0.5,4.5,50,5,50,50,40,50,40,64
536,Palpitoad,water,ground,"['Swift Swim', 'Hydration', 'Water Absorb']",Vibration Pokémon,0.8,17,50,5,75,65,55,65,55,69
537,Seismitoad,water,ground,"['Swift Swim', 'Poison Touch', 'Water Absorb']",Vibration Pokémon,1.5,62,50,5,105,95,75,85,75,74
538,Throh,fighting,,"['Guts', 'Inner Focus', 'Mold Breaker']",Judo Pokémon,1.3,55.5,100,5,120,100,85,30,85,45
539,Sawk,fighting,,"['Sturdy', 'Inner Focus', 'Mold Breaker']",Karate Pokémon,1.4,51,100,5,75,125,75,30,75,85
540,Sewaddle,bug,grass,"['Swarm', 'Chlorophyll', 'Overcoat']",Sewing Pokémon,0.3,2.5,50,5,45,53,70,40,60,42
541,Swadloon,bug,grass,"['Leaf Guard', 'Chlorophyll', 'Overcoat']",Leaf-Wrapped Pokémon,0.5,7.3,50,5,55,63,90,50,80,42
542,Leavanny,bug,grass,"['Swarm', 'Chlorophyll', 'Overcoat']",Nurturing Pokémon,1.2,20.5,50,5,75,103,80,70,80,92
543,Venipede,bug,poison,"['Poison Point', 'Swarm', 'Speed Boost']",Centipede Pokémon,0.4,5.3,50,5,30,45,59,30,39,57
544,Whirlipede,bug,poison,"['Poison Point', 'Swarm', 'Speed Boost']",Curlipede Pokémon,1.2,58.5,50,5,40,55,99,40,79,47
545,Scolipede,bug,poison,"['Poison Point', 'Swarm', 'Speed Boost']",Megapede Pokémon,2.5,200.5,50,5,60,100,89,55,69,112
546,Cottonee,grass,fairy,"['Prankster', 'Infiltrator', 'Chlorophyll']",Cotton Puff Pokémon,0.3,0.6,50,5,40,27,60,37,50,66
547,Whimsicott,grass,fairy,"['Prankster', 'Infiltrator', 'Chlorophyll']",Windveiled Pokémon,0.7,6.6,50,5,60,67,85,77,75,116
548,Petilil,grass,,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",Bulb Pokémon,0.5,6.6,0,5,45,35,50,70,50,30
549,Lilligant,grass,,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",Flowering Pokémon,1.1,16.3,0,5,70,60,75,110,75,90
550,Basculin,water,,"['Reckless', 'Rock Head', 'Adaptability', 'Mold Breaker']",Hostile Pokémon,1,18,50,5,70,92,65,80,55,98
551,Sandile,ground,dark,"['Intimidate', 'Moxie', 'Anger Point']",Desert Croc Pokémon,0.7,15.2,50,5,50,72,35,35,35,65
552,Krokorok,ground,dark,"['Intimidate', 'Moxie', 'Anger Point']",Desert Croc Pokémon,1,33.4,50,5,60,82,45,45,45,74
553,Krookodile,ground,dark,"['Intimidate', 'Moxie', 'Anger Point']",Intimidation Pokémon,1.5,96.3,50,5,95,117,80,65,70,92
554,Darumaka,fire,,"['Hustle', 'Inner Focus']",Zen Charm Pokémon,0.6,37.5,50,5,70,90,45,15,45,50
555,Darmanitan,fire,fire,"['Sheer Force', 'Zen Mode']",Blazing Pokémon,1.3,92.9,50,5,105,30,105,140,105,55
556,Maractus,grass,,"['Water Absorb', 'Chlorophyll', 'Storm Drain']",Cactus Pokémon,1,28,50,5,75,86,67,106,67,60
557,Dwebble,bug,rock,"['Sturdy', 'Shell Armor', 'Weak Armor']",Rock Inn Pokémon,0.3,14.5,50,5,50,65,85,35,35,55
558,Crustle,bug,rock,"['Sturdy', 'Shell Armor', 'Weak Armor']",Stone Home Pokémon,1.4,200,50,5,70,105,125,65,75,45
559,Scraggy,dark,fighting,"['Shed Skin', 'Moxie', 'Intimidate']",Shedding Pokémon,0.6,11.8,50,5,50,75,70,35,70,48
560,Scrafty,dark,fighting,"['Shed Skin', 'Moxie', 'Intimidate']",Hoodlum Pokémon,1.1,30,50,5,65,90,115,45,115,58
561,Sigilyph,psychic,flying,"['Wonder Skin ', 'Magic Guard', 'Tinted Lens']",Avianoid Pokémon,1.4,14,50,5,72,58,80,103,80,97
562,Yamask,ghost,,['Mummy'],Spirit Pokémon,0.5,1.5,50,5,38,30,85,55,65,30
563,Cofagrigus,ghost,,['Mummy'],Coffin Pokémon,1.7,76.5,50,5,58,50,145,95,105,30
564,Tirtouga,water,rock,"['Solid Rock', 'Sturdy', 'Swift Swim']",Prototurtle Pokémon,0.7,16.5,88.1,5,54,78,103,53,45,22
565,Carracosta,water,rock,"['Solid Rock', 'Sturdy', 'Swift Swim']",Prototurtle Pokémon,1.2,81,88.1,5,74,108,133,83,65,32
566,Archen,rock,flying,['Defeatist'],First Bird Pokémon,0.5,9.5,88.1,5,55,112,45,74,45,70
567,Archeops,rock,flying,['Defeatist'],First Bird Pokémon,1.4,32,88.1,5,75,140,65,112,65,110
568,Trubbish,poison,,"['Stench', 'Sticky Hold', 'Aftermath']",Trash Bag Pokémon,0.6,31,50,5,50,50,62,40,62,65
569,Garbodor,poison,,"['Stench', 'Weak Armor', 'Aftermath']",Trash Heap Pokémon,1.9,107.3,50,5,80,95,82,60,82,75
570,Zorua,dark,,['Illusion'],Tricky Fox Pokémon,0.7,12.5,88.1,5,40,65,40,80,40,65
571,Zoroark,dark,,['Illusion'],Illusion Fox Pokémon,1.6,81.1,88.1,5,60,105,60,120,60,105
572,Minccino,normal,,"['Cute Charm', 'Technician', 'Skill Link']",Chinchilla Pokémon,0.4,5.8,24.6,5,55,50,40,40,40,75
573,Cinccino,normal,,"['Cute Charm', 'Technician', 'Skill Link']",Scarf Pokémon,0.5,7.5,24.6,5,75,95,60,65,60,115
574,Gothita,psychic,,"['Frisk', 'Competitive', 'Shadow Tag']",Fixation Pokémon,0.4,5.8,24.6,5,45,30,50,55,65,45
575,Gothorita,psychic,,"['Frisk', 'Competitive', 'Shadow Tag']",Manipulate Pokémon,0.7,18,24.6,5,60,45,70,75,85,55
576,Gothitelle,psychic,,"['Frisk', 'Competitive', 'Shadow Tag']",Astral Body Pokémon,1.5,44,24.6,5,70,55,95,95,110,65
577,Solosis,psychic,,"['Overcoat', 'Magic Guard', 'Regenerator']",Cell Pokémon,0.3,1,50,5,45,30,40,105,50,20
578,Duosion,psychic,,"['Overcoat', 'Magic Guard', 'Regenerator']",Mitosis Pokémon,0.6,8,50,5,65,40,50,125,60,30
579,Reuniclus,psychic,,"['Overcoat', 'Magic Guard', 'Regenerator']",Multiplying Pokémon,1,20.1,50,5,110,65,75,125,85,30
580,Ducklett,water,flying,"['Keen Eye', 'Big Pecks', 'Hydration']",Water Bird Pokémon,0.5,5.5,50,5,62,44,50,44,50,55
581,Swanna,water,flying,"['Keen Eye', 'Big Pecks', 'Hydration']",White Bird Pokémon,1.3,24.2,50,5,75,87,63,87,63,98
582,Vanillite,ice,,"['Ice Body', 'Snow Cloak', 'Weak Armor']",Fresh Snow Pokémon,0.4,5.7,50,5,36,50,50,65,60,44
583,Vanillish,ice,,"['Ice Body', 'Snow Cloak', 'Weak Armor']",Icy Snow Pokémon,1.1,41,50,5,51,65,65,80,75,59
584,Vanilluxe,ice,,"['Ice Body', 'Snow Warning', 'Weak Armor']",Snowstorm Pokémon,1.3,57.5,50,5,71,95,85,110,95,79
585,Deerling,normal,grass,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",Season Pokémon,0.6,19.5,50,5,60,60,50,40,50,75
586,Sawsbuck,normal,grass,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",Season Pokémon,1.9,92.5,50,5,80,100,70,60,70,95
587,Emolga,electric,flying,"['Static', 'Motor Drive']",Sky Squirrel Pokémon,0.4,5,50,5,55,75,60,75,60,103
588,Karrablast,bug,,"['Swarm', 'Shed Skin', 'No Guard']",Clamping Pokémon,0.5,5.9,50,5,50,75,45,40,45,60
589,Escavalier,bug,steel,"['Swarm', 'Shell Armor', 'Overcoat']",Cavalry Pokémon,1,33,50,5,70,135,105,60,105,20
590,Foongus,grass,poison,"['Effect Spore', 'Regenerator']",Mushroom Pokémon,0.2,1,50,5,69,55,45,55,55,15
591,Amoonguss,grass,poison,"['Effect Spore', 'Regenerator']",Mushroom Pokémon,0.6,10.5,50,5,114,85,70,85,80,30
592,Frillish,water,ghost,"['Water Absorb', 'Cursed Body', 'Damp']",Floating Pokémon,1.2,33,50,5,55,40,50,65,85,40
593,Jellicent,water,ghost,"['Water Absorb', 'Cursed Body', 'Damp']",Floating Pokémon,2.2,135,50,5,100,60,70,85,105,60
594,Alomomola,water,,"['Healer', 'Hydration', 'Regenerator']",Caring Pokémon,1.2,31.6,50,5,165,75,80,40,45,65
595,Joltik,bug,electric,"['Compoundeyes', 'Unnerve', 'Swarm']",Attaching Pokémon,0.1,0.6,50,5,50,47,50,57,50,65
596,Galvantula,bug,electric,"['Compoundeyes', 'Unnerve', 'Swarm']",EleSpider Pokémon,0.8,14.3,50,5,70,77,60,97,60,108
597,Ferroseed,grass,steel,['Iron Barbs'],Thorn Seed Pokémon,0.6,18.8,50,5,44,50,91,24,86,10
598,Ferrothorn,grass,steel,"['Iron Barbs', 'Anticipation']",Thorn Pod Pokémon,1,110,50,5,74,94,131,54,116,20
599,Klink,steel,,"['Plus', 'Minus', 'Clear Body']",Gear Pokémon,0.3,21,,5,40,55,70,45,60,30
600,Klang,steel,,"['Plus', 'Minus', 'Clear Body']",Gear Pokémon,0.6,51,,5,60,80,95,70,85,50
601,Klinklang,steel,,"['Plus', 'Minus', 'Clear Body']",Gear Pokémon,0.6,81,,5,60,100,115,70,85,90
602,Tynamo,electric,,['Levitate'],EleFish Pokémon,0.2,0.3,50,5,35,55,40,45,40,60
603,Eelektrik,electric,,['Levitate'],EleFish Pokémon,1.2,22,50,5,65,85,70,75,70,40
604,Eelektross,electric,,['Levitate'],EleFish Pokémon,2.1,80.5,50,5,85,115,80,105,80,50
605,Elgyem,psychic,,"['Telepathy', 'Synchronize', 'Analytic']",Cerebral Pokémon,0.5,9,50,5,55,55,55,85,55,30
606,Beheeyem,psychic,,"['Telepathy', 'Synchronize', 'Analytic']",Cerebral Pokémon,1,34.5,50,5,75,75,75,125,95,40
607,Litwick,ghost,fire,"['Flash Fire', 'Flame Body', 'Infiltrator']",Candle Pokémon,0.3,3.1,50,5,50,30,55,65,55,20
608,Lampent,ghost,fire,"['Flash Fire', 'Flame Body', 'Infiltrator']",Lamp Pokémon,0.6,13,50,5,60,40,60,95,60,55
609,Chandelure,ghost,fire,"['Flash Fire', 'Flame Body', 'Infiltrator']",Luring Pokémon,1,34.3,50,5,60,55,90,145,90,80
610,Axew,dragon,,"['Rivalry', 'Mold Breaker', 'Unnerve']",Tusk Pokémon,0.6,18,50,5,46,87,60,30,40,57
611,Fraxure,dragon,,"['Rivalry', 'Mold Breaker', 'Unnerve']",Axe Jaw Pokémon,1,36,50,5,66,117,70,40,50,67
612,Haxorus,dragon,,"['Rivalry', 'Mold Breaker', 'Unnerve']",Axe Jaw Pokémon,1.8,105.5,50,5,76,147,90,60,70,97
613,Cubchoo,ice,,"['Snow Cloak', 'Slush Rush', 'Rattled']",Chill Pokémon,0.5,8.5,50,5,55,70,40,60,40,40
614,Beartic,ice,,"['Snow Cloak', 'Slush Rush', 'Swift Swim']",Freezing Pokémon,2.6,260,50,5,95,130,80,70,80,50
615,Cryogonal,ice,,['Levitate'],Crystallizing Pokémon,1.1,148,,5,80,50,50,95,135,105
616,Shelmet,bug,,"['Hydration', 'Shell Armor', 'Overcoat']",Snail Pokémon,0.4,7.7,50,5,50,40,85,40,65,25
617,Accelgor,bug,,"['Hydration', 'Sticky Hold', 'Unburden']",Shell Out Pokémon,0.8,25.3,50,5,80,70,40,100,60,145
618,Stunfisk,ground,electric,"['Static', 'Limber', 'Sand Veil']",Trap Pokémon,0.7,11,50,5,109,66,84,81,99,32
619,Mienfoo,fighting,,"['Inner Focus', 'Regenerator', 'Reckless']",Martial Arts Pokémon,0.9,20,50,5,45,85,50,55,50,65
620,Mienshao,fighting,,"['Inner Focus', 'Regenerator', 'Reckless']",Martial Arts Pokémon,1.4,35.5,50,5,65,125,60,95,60,105
621,Druddigon,dragon,,"['Rough Skin', 'Sheer Force', 'Mold Breaker']",Cave Pokémon,1.6,139,50,5,77,120,90,60,90,48
622,Golett,ground,ghost,"['Iron Fist', 'Klutz', 'No Guard']",Automaton Pokémon,1,92,,5,59,74,50,35,50,35
623,Golurk,ground,ghost,"['Iron Fist', 'Klutz', 'No Guard']",Automaton Pokémon,2.8,330,,5,89,124,80,55,80,55
624,Pawniard,dark,steel,"['Defiant', 'Inner Focus', 'Pressure']",Sharp Blade Pokémon,0.5,10.2,50,5,45,85,70,40,40,60
625,Bisharp,dark,steel,"['Defiant', 'Inner Focus', 'Pressure']",Sword Blade Pokémon,1.6,70,50,5,65,125,100,60,70,70
626,Bouffalant,normal,,"['Reckless', 'Sap Sipper', 'Soundproof']",Bash Buffalo Pokémon,1.6,94.6,50,5,95,110,95,40,95,55
627,Rufflet,normal,flying,"['Keen Eye', 'Sheer Force', 'Hustle']",Eaglet Pokémon,0.5,10.5,100,5,70,83,50,37,50,60
628,Braviary,normal,flying,"['Keen Eye', 'Sheer Force', 'Defiant']",Valiant Pokémon,1.5,41,100,5,100,123,75,57,75,80
629,Vullaby,dark,flying,"['Big Pecks', 'Overcoat', 'Weak Armor']",Diapered Pokémon,0.5,9,0,5,70,55,75,45,65,60
630,Mandibuzz,dark,flying,"['Big Pecks', 'Overcoat', 'Weak Armor']",Bone Vulture Pokémon,1.2,39.5,0,5,110,65,105,55,95,80
631,Heatmor,fire,,"['Gluttony', 'Flash Fire', 'White Smoke']",Anteater Pokémon,1.4,58,50,5,85,97,66,105,66,65
632,Durant,bug,steel,"['Swarm', 'Hustle', 'Truant']",Iron Ant Pokémon,0.3,33,50,5,58,109,112,48,48,109
633,Deino,dark,dragon,['Hustle'],Irate Pokémon,0.8,17.3,50,5,52,65,50,45,50,38
634,Zweilous,dark,dragon,['Hustle'],Hostile Pokémon,1.4,50,50,5,72,85,70,65,70,58
635,Hydreigon,dark,dragon,['Levitate'],Brutal Pokémon,1.8,160,50,5,92,105,90,125,90,98
636,Larvesta,bug,fire,"['Flame Body', 'Swarm']",Torch Pokémon,1.1,28.8,50,5,55,85,55,50,55,60
637,Volcarona,bug,fire,"['Flame Body', 'Swarm']",Sun Pokémon,1.6,46,50,5,85,60,65,135,105,100
638,Cobalion,steel,fighting,['Justified'],Iron Will Pokémon,2.1,250,,5,91,90,129,90,72,108
639,Terrakion,rock,fighting,['Justified'],Cavern Pokémon,1.9,260,,5,91,129,90,72,90,108
640,Virizion,grass,fighting,['Justified'],Grassland Pokémon,2,200,,5,91,90,72,90,129,108
641,Tornadus,flying,,"['Prankster', 'Defiant', 'Regenerator']",Cyclone Pokémon,1.5,63,100,5,79,100,80,110,90,121
642,Thundurus,electric,flying,"['Prankster', 'Defiant', 'Volt Absorb']",Bolt Strike Pokémon,1.5,61,100,5,79,105,70,145,80,101
